internal_id,entity,CID,has_smiles,degree
2066,CID11957503,CID11957503,True,23
2067,CID11957577,CID11957577,True,1
2068,CID11957628,CID11957628,True,1
2070,CID11957684,CID11957684,True,1
2071,CID11957721,CID11957721,True,1
2073,CID119584,CID119584,True,1
2075,CID11960529,CID11960529,True,2
2076,CID119607,CID119607,True,1
2077,CID11963194,CID11963194,True,3
2078,CID11964036,CID11964036,True,7
2079,CID11965767,CID11965767,True,1
2080,CID11973122,CID11973122,True,1
2081,CID11973736,CID11973736,True,1
2082,CID11976582,CID11976582,True,1
2083,CID11977753,CID11977753,True,115
2084,CID11978790,CID11978790,True,59
2086,CID11983295,CID11983295,True,4
2087,CID11984561,CID11984561,True,1
2088,CID11987888,CID11987888,True,2
2090,CID12000240,CID12000240,True,1
2095,CID121232405,CID121232405,True,1
2096,CID121271792,CID121271792,True,2
2097,CID121277860,CID121277860,True,1
2098,CID121328278,CID121328278,True,1
2099,CID1213452,CID1213452,True,1
2102,CID121473004,CID121473004,True,2
2103,CID121487936,CID121487936,True,2
2106,CID121513855,CID121513855,True,1
2108,CID121587,CID121587,True,1
2111,CID121892,CID121892,True,1
2112,CID122108,CID122108,True,223
2114,CID12215,CID12215,True,1
2115,CID122197581,CID122197581,True,12
2116,CID122262,CID122262,True,94
2121,CID123596,CID123596,True,1
2122,CID123606,CID123606,True,1
2123,CID123608,CID123608,True,98
2125,CID123723,CID123723,True,1
2126,CID12387471,CID12387471,True,3
2127,CID123964,CID123964,True,2
2128,CID123985,CID123985,True,1
2130,CID124112581,CID124112581,True,1
2131,CID124246,CID124246,True,1
2133,CID12597,CID12597,True,1
2134,CID12620,CID12620,True,1
2135,CID126565,CID126565,True,27
2136,CID126758,CID126758,True,1
2137,CID126843232,CID126843232,True,1
2140,CID1271002,CID1271002,True,2
2143,CID1274465,CID1274465,True,1
2144,CID129010078,CID129010078,True,20
2146,CID12934390,CID12934390,True,1
2147,CID129426,CID129426,True,1
2148,CID12947,CID12947,True,1
2149,CID129869,CID129869,True,2
2150,CID13018151,CID13018151,True,2
2152,CID130881,CID130881,True,229
2153,CID130904,CID130904,True,234
2155,CID13109,CID13109,True,234
2156,CID13116,CID13116,True,1
2158,CID131955127,CID131955127,True,1
2159,CID132449,CID132449,True,2
2163,CID132971,CID132971,True,105
2164,CID133021,CID133021,True,2
2165,CID133053818,CID133053818,True,1
2166,CID133065662,CID133065662,True,1
2170,CID134327298,CID134327298,True,4
2171,CID1345,CID1345,True,2
2174,CID134828256,CID134828256,True,2
2178,CID135398491,CID135398491,True,3
2180,CID135398495,CID135398495,True,4
2181,CID135398499,CID135398499,True,1
2184,CID135398512,CID135398512,True,1
2185,CID135398513,CID135398513,True,1
2186,CID135398521,CID135398521,True,2
2188,CID135398641,CID135398641,True,1
2189,CID135398645,CID135398645,True,1
2192,CID135398737,CID135398737,True,1
2194,CID135398739,CID135398739,True,2
2195,CID135398740,CID135398740,True,246
2196,CID135398741,CID135398741,True,1
2198,CID135398745,CID135398745,True,3
2199,CID135398748,CID135398748,True,1
2200,CID135399748,CID135399748,True,3
2201,CID135400182,CID135400182,True,4
2202,CID135400189,CID135400189,True,1
2203,CID135401907,CID135401907,True,310
2204,CID135402864,CID135402864,True,2
2205,CID135403620,CID135403620,True,2
