drug1_id,drug2_id,drug1_entity,drug2_entity,label,split
3844,4237,CID5311,CID59691338,1,train
3844,4245,CID5311,CID5991,1,train
3844,4252,CID5311,CID6013,1,train
3844,4259,CID5311,CID6018,1,train
3844,4265,CID5311,CID60198,1,train
3844,4279,CID5311,CID60648,1,train
3844,4283,CID5311,CID60699,1,train
3844,4290,CID5311,CID60753,1,train
3844,4291,CID5311,CID60795,1,train
3844,4299,CID5311,CID60838,1,train
3844,4312,CID5311,CID6100,1,train
3844,4353,CID5311,CID6321424,1,train
3844,4358,CID5311,CID6337614,1,train
3844,4359,CID5311,CID636362,1,train
3844,4443,CID5311,CID656583,1,train
3844,4535,CID5311,CID68617,1,train
3844,4543,CID5311,CID68740,1,train
3844,4558,CID5311,CID6914273,1,train
3844,4559,CID5311,CID6914657,1,train
3844,4577,CID5311,CID6918296,1,train
3844,4643,CID5311,CID71384,1,train
3844,4644,CID5311,CID71386,1,train
3844,4834,CID5311,CID74990,1,train
3844,4837,CID5311,CID7550,1,train
3844,4904,CID5311,CID8980,1,train
3844,4949,CID5311,CID92722,1,train
3844,4950,CID5311,CID92727,1,train
3844,5000,CID5311,CID9811704,1,train
3844,5032,CID5311,CID9852573,1,train
3844,5058,CID5311,CID9887053,1,train
3844,5080,CID5311,CID9914412,1,train
3844,5089,CID5311,CID9930913,1,train
3844,5107,CID5311,CID9949641,1,train
3849,3895,CID5311068,CID5329102,1,train
3849,3930,CID5311068,CID5342,1,train
3849,3942,CID5311068,CID5358,1,train
3849,3967,CID5311068,CID5430,1,train
3849,3988,CID5311068,CID54675769,1,train
3849,4003,CID5311068,CID54680692,1,train
3849,4005,CID5311068,CID54684141,1,train
3849,4039,CID5311068,CID5493444,1,train
3849,4054,CID5311068,CID5546,1,train
3849,4206,CID5311068,CID5831,1,train
3849,4207,CID5311068,CID5833,1,train
3849,4252,CID5311068,CID6013,1,train
3849,4259,CID5311068,CID6018,1,train
3849,4290,CID5311068,CID60753,1,train
3849,4299,CID5311068,CID60838,1,train
3849,4312,CID5311068,CID6100,1,train
3849,4353,CID5311068,CID6321424,1,train
3849,4358,CID5311068,CID6337614,1,train
3849,4368,CID5311068,CID64139,1,train
3849,4443,CID5311068,CID656583,1,train
3849,4535,CID5311068,CID68617,1,train
3849,4558,CID5311068,CID6914273,1,train
3849,4577,CID5311068,CID6918296,1,train
3849,4929,CID5311068,CID91649,1,train
3849,4949,CID5311068,CID92722,1,train
3849,5000,CID5311068,CID9811704,1,train
3860,3895,CID5311497,CID5329102,1,train
3860,3899,CID5311497,CID5330286,1,train
3860,4237,CID5311497,CID59691338,1,train
3860,5036,CID5311497,CID9858940,1,train
3860,5058,CID5311497,CID9887053,1,train
3868,4038,CID5321010,CID54900,1,train
3868,4229,CID5321010,CID5944,1,train
3868,4581,CID5321010,CID6918405,1,train
3868,4769,CID5321010,CID73265318,1,train
3868,4796,CID5321010,CID73265377,1,train
3868,4800,CID5321010,CID73265389,1,train
3871,4138,CID53235510,CID57379345,1,train
3871,4592,CID53235510,CID6918638,1,train
3872,3895,CID5323714,CID5329102,1,train
3872,3930,CID5323714,CID5342,1,train
3872,3942,CID5323714,CID5358,1,train
3872,3964,CID5323714,CID5426,1,train
3872,3967,CID5323714,CID5430,1,train
3872,3982,CID5323714,CID5462501,1,train
3872,3988,CID5323714,CID54675769,1,train
3872,4005,CID5323714,CID54684141,1,train
3872,4039,CID5323714,CID5493444,1,train
3872,4051,CID5323714,CID5530,1,train
3872,4054,CID5323714,CID5546,1,train
3872,4206,CID5323714,CID5831,1,train
3872,4207,CID5323714,CID5833,1,train
3872,4245,CID5323714,CID5991,1,train
3872,4279,CID5323714,CID60648,1,train
3872,4290,CID5323714,CID60753,1,train
3872,4291,CID5323714,CID60795,1,train
3872,4299,CID5323714,CID60838,1,train
3872,4312,CID5323714,CID6100,1,train
3872,4353,CID5323714,CID6321424,1,train
3872,4358,CID5323714,CID6337614,1,train
3872,4368,CID5323714,CID64139,1,train
3872,4443,CID5323714,CID656583,1,train
3872,4535,CID5323714,CID68617,1,train
3872,4558,CID5323714,CID6914273,1,train
3872,4577,CID5323714,CID6918296,1,train
3872,4837,CID5323714,CID7550,1,train
3872,4929,CID5323714,CID91649,1,train
3872,4949,CID5323714,CID92722,1,train
3872,5000,CID5323714,CID9811704,1,train
3872,5089,CID5323714,CID9930913,1,train
3877,3934,CID53248764,CID53494972,1,train
3877,4353,CID53248764,CID6321424,1,train
3877,4566,CID53248764,CID6917864,1,train
3877,4644,CID53248764,CID71386,1,train
3877,4946,CID53248764,CID92178,1,train
3877,4950,CID53248764,CID92727,1,train
3877,5080,CID53248764,CID9914412,1,train
3895,3930,CID5329102,CID5342,1,train
3895,3942,CID5329102,CID5358,1,train
3895,3944,CID5329102,CID5360373,1,train
3895,3945,CID5329102,CID5360515,1,train
3895,3958,CID5329102,CID5388983,1,train
3895,3964,CID5329102,CID5426,1,train
3895,3967,CID5329102,CID5430,1,train
3895,3982,CID5329102,CID5462501,1,train
3895,4003,CID5329102,CID54680692,1,train
3895,4005,CID5329102,CID54684141,1,train
3895,4039,CID5329102,CID5493444,1,train
3895,4051,CID5329102,CID5530,1,train
3895,4054,CID5329102,CID5546,1,train
3895,4206,CID5329102,CID5831,1,train
3895,4237,CID5329102,CID59691338,1,train
3895,4245,CID5329102,CID5991,1,train
3895,4252,CID5329102,CID6013,1,train
3895,4259,CID5329102,CID6018,1,train
3895,4265,CID5329102,CID60198,1,train
3895,4283,CID5329102,CID60699,1,train
3895,4291,CID5329102,CID60795,1,train
3895,4299,CID5329102,CID60838,1,train
3895,4312,CID5329102,CID6100,1,train
3895,4318,CID5329102,CID6167,1,train
3895,4353,CID5329102,CID6321424,1,train
3895,4358,CID5329102,CID6337614,1,train
3895,4359,CID5329102,CID636362,1,train
3895,4368,CID5329102,CID64139,1,train
3895,4443,CID5329102,CID656583,1,train
3895,4535,CID5329102,CID68617,1,train
3895,4543,CID5329102,CID68740,1,train
3895,4577,CID5329102,CID6918296,1,train
3895,4643,CID5329102,CID71384,1,train
3895,4837,CID5329102,CID7550,1,train
3895,4929,CID5329102,CID91649,1,train
3895,4949,CID5329102,CID92722,1,train
3895,5000,CID5329102,CID9811704,1,train
3895,5034,CID5329102,CID9854073,1,train
3895,5058,CID5329102,CID9887053,1,train
3899,3909,CID5330286,CID53340426,1,train
3899,4038,CID5330286,CID54900,1,train
3899,4084,CID5330286,CID56649450,1,train
3899,4299,CID5330286,CID60838,1,train
3899,4559,CID5330286,CID6914657,1,train
3899,4658,CID5330286,CID71543365,1,train
3899,4672,CID5330286,CID71664305,1,train
3899,4705,CID5330286,CID72686,1,train
3899,5036,CID5330286,CID9858940,1,train
3899,5058,CID5330286,CID9887053,1,train
3899,5080,CID5330286,CID9914412,1,train
3909,4255,CID53340426,CID60160561,1,train
3909,4559,CID53340426,CID6914657,1,train
3911,4255,CID53340771,CID60160561,1,train
3911,4658,CID53340771,CID71543365,1,train
3911,4672,CID53340771,CID71664305,1,train
3927,4145,CID53396328,CID57441923,1,train
3927,4248,CID53396328,CID60060499,1,train
3927,4736,CID53396328,CID73265223,1,train
3927,4745,CID53396328,CID73265233,1,train
3927,4797,CID53396328,CID73265380,1,train
3927,4823,CID53396328,CID73461,1,train
3927,5010,CID53396328,CID9823820,1,train
3930,3942,CID5342,CID5358,1,train
3930,3964,CID5342,CID5426,1,train
3930,3967,CID5342,CID5430,1,train
3930,3982,CID5342,CID5462501,1,train
3930,3988,CID5342,CID54675769,1,train
3930,4003,CID5342,CID54680692,1,train
3930,4005,CID5342,CID54684141,1,train
3930,4039,CID5342,CID5493444,1,train
3930,4051,CID5342,CID5530,1,train
3930,4054,CID5342,CID5546,1,train
3930,4206,CID5342,CID5831,1,train
3930,4207,CID5342,CID5833,1,train
3930,4245,CID5342,CID5991,1,train
3930,4252,CID5342,CID6013,1,train
3930,4279,CID5342,CID60648,1,train
3930,4290,CID5342,CID60753,1,train
3930,4299,CID5342,CID60838,1,train
3930,4312,CID5342,CID6100,1,train
3930,4353,CID5342,CID6321424,1,train
3930,4358,CID5342,CID6337614,1,train
3930,4443,CID5342,CID656583,1,train
3930,4535,CID5342,CID68617,1,train
3930,4577,CID5342,CID6918296,1,train
3930,4837,CID5342,CID7550,1,train
3930,4929,CID5342,CID91649,1,train
3930,5000,CID5342,CID9811704,1,train
3930,5089,CID5342,CID9930913,1,train
3934,4122,CID53494972,CID572,1,train
3934,4183,CID53494972,CID5754,1,train
3934,4213,CID53494972,CID5865,1,train
3934,4354,CID53494972,CID63224,1,train
3934,4397,CID53494972,CID644274,1,train
3934,4465,CID53494972,CID65999,1,train
3934,4566,CID53494972,CID6917864,1,train
3934,4638,CID53494972,CID71329,1,train
3934,4644,CID53494972,CID71386,1,train
3934,4686,CID53494972,CID72092,1,train
3934,4904,CID53494972,CID8980,1,train
3934,4989,CID53494972,CID9803963,1,train
3934,5032,CID53494972,CID9852573,1,train
3942,3945,CID5358,CID5360515,1,train
3942,3964,CID5358,CID5426,1,train
3942,3967,CID5358,CID5430,1,train
3942,3988,CID5358,CID54675769,1,train
3942,4003,CID5358,CID54680692,1,train
3942,4005,CID5358,CID54684141,1,train
3942,4054,CID5358,CID5546,1,train
3942,4207,CID5358,CID5833,1,train
3942,4245,CID5358,CID5991,1,train
3942,4252,CID5358,CID6013,1,train
3942,4279,CID5358,CID60648,1,train
3942,4290,CID5358,CID60753,1,train
3942,4291,CID5358,CID60795,1,train
3942,4299,CID5358,CID60838,1,train
3942,4353,CID5358,CID6321424,1,train
3942,4358,CID5358,CID6337614,1,train
3942,4368,CID5358,CID64139,1,train
3942,4535,CID5358,CID68617,1,train
3942,4558,CID5358,CID6914273,1,train
3942,4577,CID5358,CID6918296,1,train
3942,4837,CID5358,CID7550,1,train
3942,4929,CID5358,CID91649,1,train
3942,4949,CID5358,CID92722,1,train
3942,5000,CID5358,CID9811704,1,train
3942,5089,CID5358,CID9930913,1,train
3944,3958,CID5360373,CID5388983,1,train
3944,3964,CID5360373,CID5426,1,train
3944,4265,CID5360373,CID60198,1,train
3944,4283,CID5360373,CID60699,1,train
3944,4359,CID5360373,CID636362,1,train
3944,4543,CID5360373,CID68740,1,train
3944,4643,CID5360373,CID71384,1,train
3944,5034,CID5360373,CID9854073,1,train
3945,3982,CID5360515,CID5462501,1,train
3945,4005,CID5360515,CID54684141,1,train
3945,4039,CID5360515,CID5493444,1,train
3945,4051,CID5360515,CID5530,1,train
3945,4206,CID5360515,CID5831,1,train
3945,4245,CID5360515,CID5991,1,train
3945,4252,CID5360515,CID6013,1,train
3945,4290,CID5360515,CID60753,1,train
3945,4299,CID5360515,CID60838,1,train
3945,4312,CID5360515,CID6100,1,train
3945,4315,CID5360515,CID6135,1,train
3945,4353,CID5360515,CID6321424,1,train
3945,4358,CID5360515,CID6337614,1,train
3945,4443,CID5360515,CID656583,1,train
3945,4535,CID5360515,CID68617,1,train
3945,4577,CID5360515,CID6918296,1,train
3945,4837,CID5360515,CID7550,1,train
3945,4929,CID5360515,CID91649,1,train
3945,4949,CID5360515,CID92722,1,train
3945,5000,CID5360515,CID9811704,1,train
3958,3964,CID5388983,CID5426,1,train
3958,4265,CID5388983,CID60198,1,train
3958,4283,CID5388983,CID60699,1,train
3958,4359,CID5388983,CID636362,1,train
3958,4543,CID5388983,CID68740,1,train
3958,4643,CID5388983,CID71384,1,train
3964,3967,CID5426,CID5430,1,train
3964,3982,CID5426,CID5462501,1,train
3964,3988,CID5426,CID54675769,1,train
3964,4005,CID5426,CID54684141,1,train
3964,4039,CID5426,CID5493444,1,train
3964,4051,CID5426,CID5530,1,train
3964,4054,CID5426,CID5546,1,train
3964,4206,CID5426,CID5831,1,train
3964,4207,CID5426,CID5833,1,train
3964,4245,CID5426,CID5991,1,train
3964,4252,CID5426,CID6013,1,train
3964,4259,CID5426,CID6018,1,train
3964,4265,CID5426,CID60198,1,train
3964,4279,CID5426,CID60648,1,train
3964,4283,CID5426,CID60699,1,train
3964,4290,CID5426,CID60753,1,train
3964,4291,CID5426,CID60795,1,train
3964,4299,CID5426,CID60838,1,train
3964,4353,CID5426,CID6321424,1,train
3964,4358,CID5426,CID6337614,1,train
3964,4359,CID5426,CID636362,1,train
3964,4443,CID5426,CID656583,1,train
3964,4535,CID5426,CID68617,1,train
3964,4543,CID5426,CID68740,1,train
3964,4558,CID5426,CID6914273,1,train
3964,4577,CID5426,CID6918296,1,train
3964,4643,CID5426,CID71384,1,train
3964,4837,CID5426,CID7550,1,train
3964,4929,CID5426,CID91649,1,train
3964,4949,CID5426,CID92722,1,train
3964,5000,CID5426,CID9811704,1,train
3964,5034,CID5426,CID9854073,1,train
3964,5089,CID5426,CID9930913,1,train
3967,3982,CID5430,CID5462501,1,train
3967,3988,CID5430,CID54675769,1,train
3967,4003,CID5430,CID54680692,1,train
3967,4005,CID5430,CID54684141,1,train
3967,4039,CID5430,CID5493444,1,train
3967,4051,CID5430,CID5530,1,train
3967,4054,CID5430,CID5546,1,train
