Taselisib,combination,Dabrafenib
MK-1775,combination,Dabrafenib
Linsitinib,combination,Dabrafenib
Olaparib,combination,Dabrafenib
Olaparib,combination,SCH-772984
Bortezomib,combination,SCH-772984
Palbociclib,combination,SCH-772984
Lapatinib,combination,SCH-772984
Nutlin-3a (-),combination,SCH-772984
Taselisib,combination,SCH-772984
Temozolomide,combination,SCH-772984
Gemcitabine,combination,SCH-772984
Trametinib,combination,SCH-772984
Docetaxel,combination,SCH-772984
Linsitinib,combination,SCH-772984
Crizotinib,combination,SCH-772984
MK-1775,combination,SCH-772984
Cisplatin,combination,SCH-772984
Vorinostat,combination,SCH-772984
Navitoclax,combination,SCH-772984
Luminespib,combination,SCH-772984
5-Fluorouracil,combination,Entinostat
PD-173074,combination,Entinostat
Pictilisib,combination,Entinostat
Axitinib,combination,Entinostat
Sapitinib,combination,Entinostat
MK-2206,combination,Entinostat
Olaparib,combination,Ribociclib
AZD-7762,combination,Entinostat
Bortezomib,combination,Ribociclib
Palbociclib,combination,Ribociclib
Lapatinib,combination,Ribociclib
Nutlin-3a (-),combination,Ribociclib
Taselisib,combination,Ribociclib
Temozolomide,combination,Ribociclib
Gemcitabine,combination,Ribociclib
Trametinib,combination,Ribociclib
Docetaxel,combination,Ribociclib
Linsitinib,combination,Ribociclib
Crizotinib,combination,Ribociclib
MK-1775,combination,Ribociclib
Cisplatin,combination,Ribociclib
Vorinostat,combination,Ribociclib
Navitoclax,combination,Ribociclib
Luminespib,combination,Ribociclib
5-Fluorouracil,combination,Venetoclax
PD-173074,combination,Venetoclax
Pictilisib,combination,Venetoclax
Axitinib,combination,JQ1
Pictilisib,combination,JQ1
Sapitinib,combination,JQ1
5-Fluorouracil,combination,JQ1
PD-173074,combination,JQ1
AZD-7762,combination,JQ1
Axitinib,combination,Venetoclax
Sapitinib,combination,Venetoclax
MK-2206,combination,Venetoclax
AZD-7762,combination,Venetoclax
MK-2206,combination,JQ1
Taselisib,combination,Camptothecin
Trametinib,combination,Camptothecin
Docetaxel,combination,Camptothecin
Palbociclib,combination,Camptothecin
Linsitinib,combination,Camptothecin
Crizotinib,combination,Camptothecin
MK-1775,combination,Camptothecin
Temozolomide,combination,Camptothecin
Cisplatin,combination,Camptothecin
Vorinostat,combination,Camptothecin
Navitoclax,combination,Camptothecin
Olaparib,combination,Camptothecin
Gemcitabine,combination,Camptothecin
Luminespib,combination,Camptothecin
Lapatinib,combination,Camptothecin
Bortezomib,combination,Camptothecin
Nutlin-3a (-),combination,Camptothecin
Linsitinib,combination,Nilotinib
Lapatinib,combination,Nilotinib
Olaparib,combination,Nilotinib
Docetaxel,combination,Nilotinib
Taselisib,combination,Nilotinib
Nutlin-3a (-),combination,Nilotinib
